1-call@20,F1@20,L,NDCG@20,Prec@20,Rec@20,SizeOfGroup,T,Time consuming,rt
0.06154697,0.0059791445,1,0.021358972,0.0032550911,0.047708496,0,100,0,0.001
0.04803666,0.004614456,1,0.017460132,0.0025124294,0.037033636,0,500,0,0.001
0.046456505,0.0044417577,1,0.016709711,0.0024215719,0.03552152,0,1000,0,0.001
0.054199256,0.0052270745,1,0.019791827,0.0028403068,0.04215961,0,100,0,0.01
0.057675596,0.005599694,1,0.020106042,0.0030615253,0.04351336,0,500,0,0.01
0.057991624,0.0056126732,1,0.020186467,0.003069426,0.043723002,0,1000,0,0.01
0.047483604,0.004566988,1,0.016645113,0.0024808268,0.036815796,0,100,0,0.1
0.063443154,0.0061456016,1,0.022423897,0.003341998,0.04932483,0,500,0,0.1
0.07039583,0.0068992185,1,0.02538329,0.0037765342,0.053692143,0,1000,0,0.1
0.059334755,0.005753738,2,0.02055579,0.0031444817,0.045114413,0,100,0,0.001
0.05238208,0.0050366875,2,0.01919906,0.0027454994,0.04007829,0,500,0,0.001
0.050248872,0.0048445133,2,0.01763621,0.002638841,0.03862406,0,1000,0,0.001
0.06526033,0.0064056795,2,0.022739328,0.0034921109,0.050778188,0,100,0,0.01
0.058623686,0.0057177967,2,0.020178664,0.0031286813,0.04486467,0,500,0,0.01
0.055542387,0.0054543586,2,0.020361621,0.0029706685,0.04412009,0,1000,0,0.01
0.044086277,0.0042136014,2,0.01578398,0.0022991113,0.032988228,0,100,0,0.1
0.061704986,0.006040904,2,0.021925751,0.0032985455,0.047621116,0,500,0,0.1
0.0,0.0,2,0.0,0.0,0.0,0,1000,0,0.1
0.05854468,0.005672861,3,0.020290954,0.0031049787,0.043745562,0,100,0,0.001
0.052461088,0.005073089,3,0.018518787,0.0027692013,0.040250715,0,500,0,0.001
0.0463775,0.004444991,3,0.017269175,0.002417622,0.036020525,0,1000,0,0.001
0.063443154,0.006163655,3,0.022462973,0.0033696508,0.048299834,0,100,0,0.01
0.053725213,0.005183245,3,0.018888017,0.0028205556,0.04170895,0,500,0,0.01
0.053725213,0.005194177,3,0.018868664,0.0028284562,0.041445334,0,1000,0,0.01
0.04337521,0.0040895254,3,0.012413669,0.0022359064,0.031832963,0,100,0,0.1
0.058860708,0.0057262,3,0.021783821,0.0031247314,0.04552209,0,500,0,0.1
0.06336415,0.0062487195,3,0.022715062,0.0034210058,0.048255198,0,1000,0,0.1
